bssid,essid,rssi,point
F4:2E:7F:1B:49:21,eduroam-IPv6only,-59,13
F4:2E:7F:1B:49:23,mwn-events,-60,13
F4:2E:7F:1B:49:25,HM-iotroam,-60,13
18:D6:C7:0A:8A:1F,1209,-37,13
60:E3:27:1C:2C:A4,1B45,-47,13
18:D6:C7:0C:AB:C7,1AD3,-51,13
34:FC:B9:73:30:E0,eduroam,-35,13
34:FC:B9:73:30:E1,eduroam-IPv6only,-36,13
34:FC:B9:73:30:E2,lrz,-38,13
34:FC:B9:73:30:E3,mwn-events,-34,13
34:FC:B9:73:30:E4,@BayernWLAN,-36,13
34:FC:B9:73:30:E5,HM-iotroam,-36,13
F4:2E:7F:1B:49:20,eduroam,-59,13
F4:2E:7F:1B:49:22,lrz,-59,13
F4:2E:7F:1B:49:24,@BayernWLAN,-58,13
38:17:C3:44:90:60,eduroam,-83,13
38:17:C3:44:90:64,@BayernWLAN,-84,13
38:17:C3:44:90:61,eduroam-IPv6only,-79,13
38:17:C3:44:90:62,lrz,-83,13
38:17:C3:44:90:63,mwn-events,-84,13
38:17:C3:44:90:65,HM-iotroam,-85,13
A0:25:D7:CA:A1:C0,eduroam,-80,13
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-81,13
A0:25:D7:CA:A1:C2,@BayernWLAN,-80,13
A0:25:D7:CA:A1:C3,lrz,-80,13
A0:25:D7:CA:A1:C4,mwn-events,-80,13
F4:2E:7F:1B:9B:C0,eduroam,-87,13
A8:40:41:20:54:00,dragino-205400,-90,13
A0:25:D7:CA:A1:C5,HM-iotroam,-80,13
F4:2E:7F:1B:9B:C4,@BayernWLAN,-87,13
F4:2E:7F:1B:9B:C5,HM-iotroam,-87,13
18:D6:C7:0F:63:8A,19BC,-20,13
E6:5F:01:D1:0F:68,main,-42,13
F4:2E:7F:1B:49:21,eduroam-IPv6only,-61,13
F4:2E:7F:1B:49:23,mwn-events,-65,13
F4:2E:7F:1B:49:25,HM-iotroam,-64,13
18:D6:C7:0A:8A:1F,1209,-38,13
60:E3:27:1C:2C:A4,1B45,-42,13
18:D6:C7:0C:AB:C7,1AD3,-50,13
34:FC:B9:73:30:E0,eduroam,-35,13
34:FC:B9:73:30:E1,eduroam-IPv6only,-36,13
34:FC:B9:73:30:E2,lrz,-35,13
34:FC:B9:73:30:E3,mwn-events,-36,13
34:FC:B9:73:30:E4,@BayernWLAN,-37,13
34:FC:B9:73:30:E5,HM-iotroam,-36,13
F4:2E:7F:1B:49:20,eduroam,-64,13
F4:2E:7F:1B:49:22,lrz,-65,13
F4:2E:7F:1B:49:24,@BayernWLAN,-64,13
38:17:C3:44:90:60,eduroam,-83,13
38:17:C3:44:90:64,@BayernWLAN,-79,13
38:17:C3:44:90:61,eduroam-IPv6only,-79,13
38:17:C3:44:90:62,lrz,-80,13
38:17:C3:44:90:63,mwn-events,-80,13
38:17:C3:44:90:65,HM-iotroam,-80,13
A0:25:D7:CA:A1:C0,eduroam,-81,13
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-80,13
A0:25:D7:CA:A1:C2,@BayernWLAN,-80,13
A0:25:D7:CA:A1:C3,lrz,-81,13
A0:25:D7:CA:A1:C4,mwn-events,-81,13
F4:2E:7F:1B:9B:C0,eduroam,-90,13
A8:40:41:20:54:00,dragino-205400,-93,13
A0:25:D7:CA:A1:C5,HM-iotroam,-80,13
F4:2E:7F:1B:9B:C4,@BayernWLAN,-87,13
F4:2E:7F:1B:9B:C5,HM-iotroam,-87,13
18:D6:C7:0F:63:8A,19BC,-20,13
E6:5F:01:D1:0F:68,main,-40,13
F4:2E:7F:1B:49:21,eduroam-IPv6only,-62,13
F4:2E:7F:1B:49:23,mwn-events,-62,13
F4:2E:7F:1B:49:25,HM-iotroam,-63,13
18:D6:C7:0A:8A:1F,1209,-37,13
60:E3:27:1C:2C:A4,1B45,-43,13
18:D6:C7:0C:AB:C7,1AD3,-47,13
34:FC:B9:73:30:E0,eduroam,-35,13
34:FC:B9:73:30:E1,eduroam-IPv6only,-37,13
34:FC:B9:73:30:E2,lrz,-35,13
34:FC:B9:73:30:E3,mwn-events,-34,13
34:FC:B9:73:30:E4,@BayernWLAN,-37,13
34:FC:B9:73:30:E5,HM-iotroam,-35,13
F4:2E:7F:1B:49:20,eduroam,-60,13
F4:2E:7F:1B:49:22,lrz,-61,13
F4:2E:7F:1B:49:24,@BayernWLAN,-61,13
38:17:C3:44:90:60,eduroam,-83,13
38:17:C3:44:90:64,@BayernWLAN,-82,13
38:17:C3:44:90:61,eduroam-IPv6only,-81,13
38:17:C3:44:90:62,lrz,-82,13
38:17:C3:44:90:63,mwn-events,-82,13
38:17:C3:44:90:65,HM-iotroam,-82,13
A0:25:D7:CA:A1:C0,eduroam,-80,13
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-81,13
A0:25:D7:CA:A1:C2,@BayernWLAN,-80,13
A0:25:D7:CA:A1:C3,lrz,-81,13
A0:25:D7:CA:A1:C4,mwn-events,-80,13
F4:2E:7F:1B:9B:C0,eduroam,-85,13
A8:40:41:20:54:00,dragino-205400,-93,13
A0:25:D7:CA:A1:C5,HM-iotroam,-81,13
F4:2E:7F:1B:9B:C4,@BayernWLAN,-87,13
F4:2E:7F:1B:9B:C5,HM-iotroam,-87,13
