bssid,essid,rssi,point
F4:2E:7F:1B:49:22,lrz,-66,2
F4:2E:7F:1B:49:24,@BayernWLAN,-67,2
34:FC:B9:73:33:80,eduroam,-87,2
38:17:C3:44:90:60,eduroam,-89,2
A8:40:41:20:54:00,dragino-205400,-92,2
A0:25:D7:CA:A1:C0,eduroam,-81,2
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-80,2
A0:25:D7:CA:A1:C2,@BayernWLAN,-81,2
A0:25:D7:CA:A1:C3,lrz,-80,2
A0:25:D7:CA:A1:C4,mwn-events,-81,2
3A:3F:B3:09:5E:EA,Vodafone Homespot,-93,2
A0:25:D7:CA:A1:C5,HM-iotroam,-81,2
38:3F:B3:09:5E:E8,Vodafone-5EE4,-94,2
18:D6:C7:0F:63:8A,19BC,-42,2
E6:5F:01:D1:0F:68,main,-39,2
F4:2E:7F:1B:49:21,eduroam-IPv6only,-67,2
F4:2E:7F:1B:49:23,mwn-events,-68,2
F4:2E:7F:1B:49:25,HM-iotroam,-67,2
18:D6:C7:0A:8A:1F,1209,-38,2
60:E3:27:1C:2C:A4,1B45,-44,2
18:D6:C7:0C:AB:C7,1AD3,-46,2
34:FC:B9:73:30:E0,eduroam,-54,2
34:FC:B9:73:30:E1,eduroam-IPv6only,-51,2
34:FC:B9:73:30:E2,lrz,-54,2
34:FC:B9:73:30:E3,mwn-events,-54,2
34:FC:B9:73:30:E4,@BayernWLAN,-54,2
34:FC:B9:73:30:E5,HM-iotroam,-52,2
F4:2E:7F:1B:49:20,eduroam,-67,2
F4:2E:7F:1B:49:22,lrz,-68,2
F4:2E:7F:1B:49:24,@BayernWLAN,-68,2
34:FC:B9:73:33:80,eduroam,-89,2
38:17:C3:44:90:60,eduroam,-87,2
A8:40:41:20:54:00,dragino-205400,-92,2
A0:25:D7:CA:A1:C0,eduroam,-81,2
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-81,2
A0:25:D7:CA:A1:C2,@BayernWLAN,-80,2
A0:25:D7:CA:A1:C3,lrz,-81,2
A0:25:D7:CA:A1:C4,mwn-events,-81,2
3A:3F:B3:09:5E:EA,Vodafone Homespot,-93,2
A0:25:D7:CA:A1:C5,HM-iotroam,-81,2
38:3F:B3:09:5E:E8,Vodafone-5EE4,-94,2
18:D6:C7:0F:63:8A,19BC,-42,2
E6:5F:01:D1:0F:68,main,-39,2
F4:2E:7F:1B:49:21,eduroam-IPv6only,-68,2
F4:2E:7F:1B:49:23,mwn-events,-68,2
F4:2E:7F:1B:49:25,HM-iotroam,-68,2
18:D6:C7:0A:8A:1F,1209,-37,2
60:E3:27:1C:2C:A4,1B45,-43,2
18:D6:C7:0C:AB:C7,1AD3,-44,2
34:FC:B9:73:30:E0,eduroam,-53,2
34:FC:B9:73:30:E1,eduroam-IPv6only,-54,2
34:FC:B9:73:30:E2,lrz,-53,2
34:FC:B9:73:30:E3,mwn-events,-54,2
34:FC:B9:73:30:E4,@BayernWLAN,-53,2
34:FC:B9:73:30:E5,HM-iotroam,-54,2
F4:2E:7F:1B:49:20,eduroam,-67,2
F4:2E:7F:1B:49:22,lrz,-68,2
F4:2E:7F:1B:49:24,@BayernWLAN,-68,2
34:FC:B9:73:33:80,eduroam,-88,2
38:17:C3:44:90:60,eduroam,-88,2
A8:40:41:20:54:00,dragino-205400,-92,2
A0:25:D7:CA:A1:C0,eduroam,-78,2
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-79,2
A0:25:D7:CA:A1:C2,@BayernWLAN,-79,2
A0:25:D7:CA:A1:C3,lrz,-79,2
A0:25:D7:CA:A1:C4,mwn-events,-78,2
3A:3F:B3:09:5E:EA,Vodafone Homespot,-93,2
A0:25:D7:CA:A1:C5,HM-iotroam,-79,2
38:3F:B3:09:5E:E8,Vodafone-5EE4,-89,2
